userID,fullName,phoneNumber,userEmail,balance,citizenship,password
290919947380,Tanya Diaz,001-637-715-7380,angelabailey@example.net,52.55,Tonga,)cNPebx(%9
250919546245,Jill Walters,001-499-390-6245,marshallclinton@example.com,91.06,French Southern Territories,P#+r4Fm$gB
131219849890,William Garcia,+12267501217,mariamarshall@example.org,89.27,San Marino,Kc$w5T2i+O
251019949326,Karen Hopkins,539-455-9326,frankgonzales@example.org,59.85,Nicaragua,X1fyKRkt+@
231219682228,Edward Wilson,913-701-8514x52228,debbiejohnson@example.net,11.98,Honduras,_63Zj9jh+z
25021973x097,Jennifer Shaw,905.521.2084x097,zcowan@example.com,72.99,Turkmenistan,1M71_qCnK_
231219613447,Stephanie Knight,+16306533447,victoria48@example.net,81.67,Gabon,$ERg5Dw^k2
230819701582,Kari Richardson,395-502-4495x21582,kcooley@example.com,26.05,Belgium,3+082Tq6h&
29101955x023,David Moreno,+1-493-500-8457x023,bgarcia@example.net,59.64,Comoros,WUt3M(Pb^d
060119593828,Nicholas Wade,+14437043113,cbennett@example.org,13.54,Fiji,)uHWDJRm3f
